"Program","Year","Period","Week.Ending","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Zip.Code","Region","watershed_code","Watershed","Commodity","Data.Item","Domain","type","name","code","Value","CV...."
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL","FUNGICIDE","(OXATHIAPIPROLIN = 128111)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL","INSECTICIDE","(CYCLANILIPROLE = 26202)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL","INSECTICIDE","(PERMETHRIN = 109701)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, OTHER","CHEMICAL","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","CHEMICAL","FUNGICIDE","(OXATHIAPIPROLIN = 128111)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","CHEMICAL","INSECTICIDE","(CYCLANILIPROLE = 26202)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","CHEMICAL","INSECTICIDE","(PERMETHRIN = 109701)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, OTHER","CHEMICAL","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","CHEMICAL","FUNGICIDE","(OXATHIAPIPROLIN = 128111)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","CHEMICAL","INSECTICIDE","(CYCLANILIPROLE = 26202)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","CHEMICAL","INSECTICIDE","(PERMETHRIN = 109701)",NA,""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","CHEMICAL","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA,""
